ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
138,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time",Remote,Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Colleague;Online Courses or Certification;On the job training;School (i.e., University, College, etc);Coding Bootcamp",NA,Other;Coursera,8,6,Data or business analyst,100 to 499 employees,I have some influence,Investigate,Start a free trial,United States of America,"USD	United States dollar",150000,Python;R;SQL,Python;R;SQL,BigQuery;Snowflake,BigQuery;Snowflake,NA,NA,NA,NA,Pandas;Tidyverse,Pandas;Tidyverse,NA,NA,Jupyter Notebook/JupyterLab;RStudio;Visual Studio Code,NA,MacOS,MacOS,Monday.com;Stack Overflow for Teams,GitHub Discussions;Monday.com;Stack Overflow for Teams,Slack,Slack,ChatGPT;Google Bard AI,ChatGPT,NA,NA,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Collectives on Stack Overflow,A few times per week,Yes,Less than once per month or monthly,Neutral,NA,Yes,Favorable,Increase productivity;Speed up learning;Improve accuracy in coding,Somewhat trust,Learning about a codebase;Project planning;Documenting code;Testing code,Writing code;Debugging and getting help,Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code;Debugging and getting help,,,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,150000
139,I agree,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Freelance/contract work,Something else,"Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Written Tutorials;Stack Overflow,NA,10,6,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Investigate,Visit developer communities like Stack Overflow,Italy,EUR European Euro,NA,C#;Crystal;HTML/CSS;SQL;Visual Basic (.Net),C#;HTML/CSS;SQL,Microsoft Access;Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,ASP.NET CORE,ASP.NET CORE,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,Docker;MSBuild;NuGet;Visual Studio Solution,Docker;MSBuild;NuGet;Visual Studio Solution,Notepad++;Visual Studio Code;Xcode,Notepad++;Visual Studio Code;Xcode,iOS;iPadOS;MacOS,Android;iOS;iPadOS;MacOS;Windows,GitHub Discussions,Azure Devops;GitHub Discussions,Microsoft Teams;Whatsapp;Zoom,Whatsapp;Zoom,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",It could gather all information at its disposal to suggest the tag to be set by the content of the question.,"No, but I plan to soon",Favorable,NA,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Easy,NA
140,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Stack Overflow,NA,20,16,Other (please specify):,500 to 999 employees,I have little or no influence,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Serbia,"RSD	Serbian dinar",10000000,C#;HTML/CSS;JavaScript;PowerShell;SQL,C#;HTML/CSS;JavaScript;PowerShell;SQL,Microsoft SQL Server,Cosmos DB;Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery,ASP.NET CORE;jQuery,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ,Docker;Kubernetes;NuGet;Visual Studio Solution,Docker;Kubernetes;NuGet;Visual Studio Solution,Notepad++,Notepad++,Windows,Windows,Azure Devops;Confluence;Jira,Azure Devops;Confluence;Jira,Microsoft Teams;Skype;Slack;Whatsapp,Microsoft Teams;Skype;Slack;Whatsapp,NA,NA,NA,NA,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely","Formatting, finding duplicated answeres/questions...","No, but I plan to soon",Very favorable,NA,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,16,Agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Never,NA,Never,Less than 15 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;Developer portal or other central places to find tools/services,"Information Services, IT, Software Development, or other Technology",Too long,Easy,91371
141,I agree,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed",Remote,Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,NA,25,25,"Developer, desktop or enterprise applications","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Investigate,Start a free trial;Read ratings or reviews on third party sites like G2 Crowd,Canada,"CAD	Canadian dollar",NA,HTML/CSS;Java;JavaScript;Objective-C;PHP;PowerShell;Python;SQL,HTML/CSS;JavaScript;PHP;PowerShell,Couch DB;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Redis;SQLite,MongoDB;MySQL;Redis,NA,NA,jQuery,jQuery,Capacitor;Cordova;Electron;Xamarin,Cordova,Gradle;npm,Gradle;npm,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,Android;ChromeOS;Windows,Android;iOS;MacOS;Windows,NA,NA,Google Chat;Google Meet;IRC;Microsoft Teams;Skype;Telegram;Zoom,Skype;Telegram,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,"Yes, somewhat",NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Neither easy nor difficult,NA
142,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, part-time",In-person,Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial",NA,9,3,System administrator,2 to 9 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Poland,"PLN	Polish zloty",36000,C#;Go;Java;Python,Rust,MariaDB;PostgreSQL;SQLite,NA,VMware,Amazon Web Services (AWS),ASP.NET CORE;WordPress,Angular,.NET (5+) ,Electron;Flutter;Qt;RabbitMQ,Ansible;APT;Docker;GNU GCC;Make;Maven (build tool);NuGet;Pip;Visual Studio Solution,Cargo;Kubernetes;Terraform;Unity 3D,Android Studio;IntelliJ IDEA;Micro;Nano;Notepad++;PyCharm;Vim;Visual Studio Code,Qt Creator,Windows,,GitHub Discussions;Markdown File;Notion;Trello,Confluence;Jira,Microsoft Teams,Signal,WolframAlpha,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat","I'd like to see it in practice, e.g. in filtering questions with obvious answers and hinting for correcting questions and answers.","No, but I plan to soon",Unsure,NA,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,8613
143,I agree,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,Some college/university study without earning a degree,"Books / Physical media;Friend or family member;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Books;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Click to write Choice 20;Stack Overflow;Certification videos",Coursera,2,2,"Developer, back-end",500 to 999 employees,I have some influence,Given a list,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,"Iran, Islamic Republic of...","IRR	Iranian rial",3600000000,Go;Python,C#;C++;Rust,MongoDB;PostgreSQL;Redis;SQLite,NA,Heroku;VMware,NA,Django,NA,NA,NA,Docker;Homebrew;Kubernetes;Make;Pip,Cargo;Chocolatey;GNU GCC;Godot;Unity 3D;Unreal Engine,IPython;Visual Studio Code,NA,Fedora,MacOS,Trello,NA,Discord;Google Meet;Telegram;Whatsapp;Zoom,NA,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DevOps function;Microservices,"Information Services, IT, Software Development, or other Technology",Too long,Neither easy nor difficult,85041
144,I agree,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed;Employed, part-time;Student, part-time",Remote,Hobby;Contribute to open-source projects;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Online Courses or Certification,NA,Udemy,3,NA,"Developer, full-stack",NA,NA,Given a list,Start a free trial,Germany,NA,NA,HTML/CSS;JavaScript;TypeScript,NA,Firebase Realtime Database;MongoDB;MySQL,NA,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud,NA,Angular;NestJS;Next.js;Node.js;React;Vue.js,NA,NA,NA,Docker;Kubernetes;npm,NA,Android Studio;Visual Studio Code,NA,Windows,,GitHub Discussions;Jira,NA,Skype;Slack,NA,ChatGPT,NA,GitHub Copilot,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",NA,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration,Neither trust nor distrust,Learning about a codebase,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Committing and reviewing code,,Learning about a codebase;Documenting code,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Neither easy nor difficult,NA
145,I agree,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hackathons (virtual or in-person);Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Programming Games,NA,8,6,"Developer, back-end",20 to 99 employees,I have a great deal of influence,Investigate,Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,Poland,"PLN	Polish zloty",200000,C#;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,C#;Dart;Python,Microsoft SQL Server;MySQL;PostgreSQL;RavenDB;SQLite,PostgreSQL,Amazon Web Services (AWS);Google Cloud;Heroku;Microsoft Azure,Heroku,ASP.NET CORE;Blazor;Vue.js,ASP.NET CORE;Blazor;Vue.js,.NET (5+) ,.NET (5+) ;Flutter,Docker;NuGet,Docker;NuGet,Rider;Visual Studio Code,Rider,Windows,Windows,Azure Devops;Clickup;Jira;Miro;Notion;Trello,Azure Devops;Miro;Notion;Trello,Discord;Google Meet;Microsoft Teams;Telegram,Google Meet;Telegram,ChatGPT,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",It can help with proper formatting questions and to check if answer is correct.,Yes,Favorable,Increase productivity;Speed up learning,Somewhat trust,Debugging and getting help;Testing code,Debugging and getting help,,,,Debugging and getting help,,,Yes,Individual contributor,6,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Never,1-2 times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,DevOps function;Automated testing;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Too long,Easy,47852
146,I agree,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed",Remote,Hobby;Contribute to open-source projects,Something else,"Books / Physical media;School (i.e., University, College, etc)",NA,NA,35,31,NA,"Just me - I am a freelancer, sole proprietor, etc.",I have little or no influence,NA,NA,Czech Republic,"CZK	Czech koruna",NA,C++,C++,Firebird,Firebird,NA,NA,NA,NA,NA,NA,NA,NA,Code::Blocks,Code::Blocks,Windows,Windows,NA,NA,NA,NA,NA,NA,NA,NA,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,Neutral,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither easy nor difficult,NA
147,I agree,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed",Remote,Hobby,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Written-based Online Courses;Stack Overflow,NA,5,3,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have little or no influence,NA,NA,Kosovo,EUR European Euro,10000,C#;HTML/CSS;Java;JavaScript;TypeScript,C#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Cloudflare,Cloudflare,Angular;ASP.NET;ASP.NET CORE;Blazor;Spring Boot;Vue.js,Angular;ASP.NET;ASP.NET CORE,.NET (5+) ;.NET Framework (1.0 - 4.8);Flutter;Xamarin,NA,Visual Studio Solution,NA,Android Studio;Netbeans;Notepad++;Visual Studio Code,NA,Ubuntu;Windows,,NA,NA,NA,NA,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",dont know it,"No, but I plan to soon",Indifferent,NA,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,10709
148,I agree,I am a developer by profession,45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,Primary/elementary school,"On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Written-based Online Courses;Written Tutorials;Stack Overflow,NA,35,28,"Developer, QA or test",20 to 99 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Finland,EUR European Euro,100000,Bash/Shell (all shells);C;C++;Delphi;Go;Groovy;HTML/CSS;Java;JavaScript;Lisp;Perl;PHP;PowerShell;Python;Ruby;SQL,Bash/Shell (all shells);C;C++;Groovy;JavaScript;Lisp;Python;Rust,InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Colocation;Hetzner,Colocation;Hetzner,AngularJS;Flask;React;WordPress,Flask,CUDA;Electron;GTK;NumPy;Opencv;OpenGL;Pandas;Qt;RabbitMQ,CUDA;GTK;NumPy;Opencv;OpenGL;Pandas;Qt,Ansible;APT;Boost.Test;Catch2;CMake;cppunit;GNU GCC;Google Test;Homebrew;LLVM's Clang;Make;Maven (build tool);MSBuild;MSVC;Ninja;npm;NuGet;Pip;Puppet;QMake;Webpack;Yarn,APT;Boost.Test;Catch2;CMake;cppunit;GNU GCC;Google Test;Homebrew;LLVM's Clang;Make;Maven (build tool);MSBuild;MSVC;Ninja;npm;NuGet;Pip,Notepad++;Qt Creator;Vim;Xcode,Notepad++;Qt Creator;Vim,Debian;iOS;MacOS,Debian;Red Hat;Ubuntu;Windows,Azure Devops;Confluence;Doxygen;Jira;Markdown File;Monday.com;Trello;Wikis,Azure Devops;Doxygen;Markdown File;Trello;Wikis,Google Meet;IRC;Microsoft Teams;Slack;Whatsapp,IRC;Slack,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, somewhat",I dont have high hopes as of yet,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,28,Agree,Strongly agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,Over 120 minutes a day,15-30 minutes a day,DevOps function;Automated testing,Financial Services,Appropriate in length,Neither easy nor difficult,107090
149,I agree,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow",Other;Udemy;Pluralsight;Coursera,10,6,"Developer, back-end",20 to 99 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Ask a generative AI tool,Nepal,"NPR	Nepalese rupee",4200000,JavaScript;Python;Rust;Solidity;SQL;TypeScript,Elixir;Go;Haskell;JavaScript;Python;Rust;Solidity;SQL,Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite;Supabase,Dynamodb;Elasticsearch;MongoDB;Neo4J;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Netlify;VMware,Amazon Web Services (AWS);Cloudflare;Netlify,Django;Express;FastAPI;Flask;React,Deno;Django;Express;FastAPI;Flask;Phoenix;React,RabbitMQ,Apache Kafka;RabbitMQ,Cargo;CMake;Docker;GNU GCC;Homebrew;Kubernetes;Make;npm;Pip;Terraform;Yarn,Cargo;CMake;Docker;GNU GCC;Homebrew;Kubernetes;Make;npm;Pip;Terraform;Yarn,Nano;PyCharm;Vim;Visual Studio Code,Nano;Vim;Visual Studio Code,Android;Debian;MacOS;Ubuntu,MacOS;Ubuntu,Confluence;GitHub Discussions;Jira;Notion;Trello,GitHub Discussions;Notion;Trello,Google Meet;Microsoft Teams;Skype;Slack;Telegram;Whatsapp;Zoom,Google Meet;Skype;Slack;Telegram,ChatGPT;Google Bard AI,ChatGPT;Google Bard AI,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",NA,Yes,Favorable,Increase productivity;Speed up learning;Improve collaboration,Somewhat trust,Learning about a codebase;Project planning;Writing code;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Debugging and getting help,,NA,NA,NA,NA,NA,Yes,Individual contributor,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,3-5 times a week,6-10 times a week,3-5 times a week,15-30 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,31833
150,I agree,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Stack Overflow,NA,16,10,"Developer, full-stack",20 to 99 employees,I have some influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow,Slovenia,EUR European Euro,140000,C;C#;HTML/CSS;Java;JavaScript;PHP;Solidity;TypeScript,C#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Heroku;Microsoft Azure;Netlify;Vercel;Vultr,Digital Ocean;Vultr,ASP.NET CORE;Express;Next.js;Node.js;React,ASP.NET CORE;Express;Node.js;React,.NET Framework (1.0 - 4.8);Opencv;React Native,React Native,Composer;Docker;Homebrew;npm,Bun;Docker;npm,Atom;Nano;Visual Studio Code,Visual Studio Code,MacOS;Windows;Windows Subsystem for Linux (WSL),MacOS,Asana;GitHub Discussions;Jira;Miro,GitHub Discussions,Discord;Google Meet;IRC;Matrix;Mattermost;Microsoft Teams;Signal;Skype;Slack;Telegram;Whatsapp;Zoom,Google Meet;Mattermost,NA,NA,GitHub Copilot,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,"Yes, somewhat",hype,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DevOps function;Automated testing,NA,Appropriate in length,Neither easy nor difficult,149925
151,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",How-to videos;Stack Overflow,NA,8,4,"Developer, full-stack",2 to 9 employees,I have little or no influence,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Switzerland,"CHF	Swiss franc",110000,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Ruby,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Managed Hosting;OpenShift,Amazon Web Services (AWS);Managed Hosting;OpenShift,Angular;Spring Boot,Angular;Ruby on Rails;Spring Boot,Apache Kafka;Spring Framework,Apache Kafka;Spring Framework,Docker;Gradle;Kubernetes;Make;npm;Webpack;Yarn,Docker;Gradle;Kubernetes;Make;npm;Webpack;Yarn,IntelliJ IDEA;Nano;Visual Studio Code,IntelliJ IDEA;Nano;Visual Studio Code,MacOS;Ubuntu,MacOS;Other Linux-based;Ubuntu,Confluence;GitHub Discussions;Jira;Markdown File,Confluence;GitHub Discussions;Jira;Markdown File,Microsoft Teams;Slack,Microsoft Teams;Slack,NA,NA,NA,NA,Stack Overflow;Collectives on Stack Overflow,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",Prevent dumb (qualitative-low) questions. There should be already a lot of training data.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,5,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,3-5 times a week,1-2 times a week,Never,Less than 15 minutes a day,15-30 minutes a day,DevOps function;Microservices;Innersource initiative;Continuous integration (CI) and (more often) continuous delivery,"Manufacturing, Transportation, or Supply Chain",Appropriate in length,Neither easy nor difficult,121238
152,I agree,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,Professional development or self-paced learning from online courses,Something else,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Video-based Online Courses;Interactive tutorial,NA,22,12,"Developer, back-end","5,000 to 9,999 employees",I have little or no influence,NA,Start a free trial;Ask developers I know/work with,Poland,EUR European Euro,120000,Java,Java,MySQL;Solr,MySQL,Amazon Web Services (AWS),NA,React;Spring Boot,React;Spring Boot,NA,NA,Ant;Docker;npm,NA,IntelliJ IDEA;Notepad++,IntelliJ IDEA;Notepad++,Windows,Windows,Confluence;Jira,Confluence;Jira,Microsoft Teams,Microsoft Teams,NA,NA,NA,NA,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,128507
